ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
100,12,low,100,20,0.03683673469387754,0.15789473684210525,36.0
50,15,low,100,20,0.039375,0.04918032786885246,6.0
100,19,low,100,10,0.035918367346938755,0.02857142857142857,6.0
100,11,low,100,20,0.03826530612244897,0.03508771929824561,8.0
50,18,high,1000,20,0.3611041666666663,0.038461538461538464,4.0
100,12,low,1000,20,0.03768367346938787,0.008771929824561403,2.0
50,20,low,1000,20,0.037312500000000005,0.0,0.0
100,5,low,3000,20,0.03127891156462535,0.0,0.0
100,15,low,1000,20,0.032102040816326616,0.0,0.0
100,3,low,3000,20,0.03635034013605391,0.01904761904761905,4.0
100,11,high,100,20,0.43785714285714256,0.24561403508771928,56.0
50,5,low,3000,20,0.03563194444444437,0.038461538461538464,4.0
200,20,high,1000,20,0.4146111111111141,0.09345794392523364,40.0
100,17,low,1000,20,0.03427551020408172,0.009523809523809525,2.0
100,13,high,1000,20,0.5542959183673429,0.00980392156862745,2.0
100,17,high,1000,10,0.3500408163265305,0.06666666666666667,14.0
50,5,high,3000,20,0.3301875,0.0,0.0
100,11,high,1000,10,0.43755102040816646,0.12280701754385964,28.0
100,16,low,100,20,0.0407142857142857,0.027777777777777776,6.0
50,3,low,3000,20,0.033444444444444284,0.06896551724137931,8.0
100,20,high,1000,10,0.3822244897959196,0.10810810810810811,24.0
100,4,low,3000,20,0.03974149659863907,0.0,0.0
100,20,low,1000,20,0.03237755102040828,0.018018018018018018,4.0
100,17,low,1000,10,0.034755102040816506,0.01904761904761905,4.0
100,14,high,100,20,0.3568367346938775,0.17117117117117117,38.0
100,12,high,100,20,0.4082653061224488,0.23684210526315788,54.0
100,17,high,100,20,0.3630612244897959,0.18095238095238095,38.0
100,18,low,100,20,0.03040816326530611,0.06140350877192982,14.0
100,20,low,100,10,0.033877551020408146,0.04504504504504504,10.0
50,12,high,1000,20,0.3609166666666669,0.10344827586206896,12.0
50,19,high,1000,20,0.36924999999999997,0.06896551724137931,8.0
100,19,low,1000,20,0.03532653061224508,0.0380952380952381,8.0
50,20,high,1000,20,0.3773333333333337,0.07272727272727272,8.0
100,17,low,100,20,0.034081632653061224,0.0,0.0
100,15,high,1000,20,0.5895204081632601,0.11428571428571428,24.0
