ntaxa,rep,ils,ngt,m,snaq_runtime_sum,snaq_runtime_serial,inphynet_runtime,nretic_true,nretic_est,rooted_major_hwcd,unrooted_major_hwcd,rooted_hwcd,unrooted_hwcd,rooted_min_greedy_hwcd,unrooted_min_greedy_hwcd,sum_constraint_hwcd,sum_constraint_retics,perfect_infer_unrooted_hwcd,min_unrooted_nj_hwcd,n_constraints,approx_norm_hwcd,min_greedy_approx_norm_hwcd,approx_norm_input_hwcd,approx_norm_nj_hwcd
100,1,high,100,20,31842.161996126175,1867.0557367801666,12.187531535,7,8,32,32,102,94,94,86,46,8,52,36,8,0.39166666666666666,0.35833333333333334,0.41139624166498284,0.1836734693877551
100,1,high,1000,20,149051.63759303093,30786.05456995964,12.1008358,7,9,2,2,62,52,54,44,34,9,20,4,7,0.21666666666666667,0.18333333333333332,0.1792866679382033,0.02040816326530612
100,2,low,100,20,97441.32967853546,13087.665345191956,12.196051734,8,9,0,0,26,20,20,14,14,9,4,16,7,0.08130081300813008,0.056910569105691054,0.14705321380888803,0.08163265306122448
100,2,low,1000,20,75445.03982520103,7960.7248640060425,15.236877141,8,10,0,0,18,18,10,10,6,10,8,14,8,0.07317073170731707,0.04065040650406504,0.09946595460614152,0.07142857142857142
100,2,high,100,20,84589.17881059647,4712.98601102829,19.078863262,8,7,26,26,74,64,66,56,32,7,36,20,7,0.2601626016260163,0.22764227642276422,0.26045665791068906,0.10204081632653061
100,2,high,1000,20,121725.01923561096,10459.544117927551,16.556048292,8,9,6,6,58,48,50,42,30,9,16,10,7,0.1951219512195122,0.17073170731707318,0.19120732405111576,0.05102040816326531
100,3,low,100,20,31563.434438943863,3105.5165021419525,16.751581952,2,2,0,0,4,4,4,4,4,2,0,0,8,0.01904761904761905,0.01904761904761905,0.024096385542168676,0.0
100,3,low,1000,20,33929.875742435455,3750.0583069324493,16.335284924,2,2,0,0,6,6,6,6,4,2,0,0,8,0.02857142857142857,0.02857142857142857,0.024096385542168676,0.0
100,3,high,100,20,79498.85553836823,3526.7586920261383,16.686336546,2,2,12,12,20,18,20,18,14,2,6,14,6,0.08571428571428572,0.08571428571428572,0.15008025682182985,0.07142857142857142
100,3,high,1000,20,72072.06432151794,4617.782733917236,16.265000312,2,1,0,0,12,8,8,4,4,1,6,0,7,0.0380952380952381,0.01904761904761905,0.024096385542168676,0.0
100,4,low,100,20,46953.729370355606,3471.152107000351,16.833476563,3,3,0,0,14,10,14,10,8,3,2,4,7,0.046296296296296294,0.046296296296296294,0.06535198349002522,0.02040816326530612
100,4,low,1000,10,8392.76886177063,191.74869203567505,16.544425821,3,4,2,2,14,10,12,8,0,4,10,4,12,0.046296296296296294,0.037037037037037035,0.02040816326530612,0.02040816326530612
100,4,low,1000,20,40414.7947165966,3660.4264500141144,16.173624663,3,3,0,0,0,0,0,0,0,3,0,4,8,0.0,0.0,0.02040816326530612,0.02040816326530612
100,4,high,100,20,62004.55299139023,4067.9723868370056,16.556396242,3,4,16,16,46,38,40,34,24,4,16,14,7,0.17592592592592593,0.1574074074074074,0.20186335403726707,0.07142857142857142
100,4,high,1000,20,56394.44470643997,2918.3461780548096,16.090888287,3,4,6,6,28,22,26,20,14,4,20,8,7,0.10185185185185185,0.09259259259259259,0.11690328305235137,0.04081632653061224
100,5,low,100,20,20852.130260944366,1066.7366890907288,20.160228228,1,1,0,0,0,0,0,0,0,1,0,2,8,0.0,0.0,0.01020408163265306,0.01020408163265306
100,5,low,1000,20,25836.86692428589,1787.4691150188446,18.133318376,1,1,0,0,0,0,0,0,0,1,0,0,8,0.0,0.0,0.0,0.0
100,5,high,100,20,85916.91656398773,5160.709527015686,19.12463897,1,1,12,12,18,16,18,16,8,1,8,16,7,0.0784313725490196,0.0784313725490196,0.12982542414556184,0.08163265306122448
100,5,high,1000,10,8787.062184333801,287.60295701026917,19.754739995,1,1,0,0,12,4,12,4,2,1,2,0,12,0.0196078431372549,0.0196078431372549,0.014705882352941176,0.0
100,5,high,1000,20,101074.69887661934,23143.557326078415,18.27792251,1,1,0,0,2,2,2,2,0,1,2,0,7,0.00980392156862745,0.00980392156862745,0.0,0.0
100,6,low,100,10,8113.40239071846,150.0317578315735,15.931461004,5,5,8,8,10,8,10,8,2,5,6,4,13,0.03508771929824561,0.03508771929824561,0.03339517625231911,0.02040816326530612
100,6,low,100,20,46636.10569667816,3652.246664047241,15.138951291,5,5,0,0,0,0,0,0,0,5,0,4,8,0.0,0.0,0.02040816326530612,0.02040816326530612
100,6,low,1000,20,60528.710018873215,10033.307651996613,16.873994297,5,5,6,6,0,0,0,0,0,5,0,2,8,0.0,0.0,0.01020408163265306,0.01020408163265306
100,6,high,100,10,12035.094428062439,514.3652601242065,16.429378193,5,4,8,8,60,50,52,42,10,4,40,14,12,0.21929824561403508,0.18421052631578946,0.13636363636363635,0.07142857142857142
100,6,high,100,20,200940.641851902,25799.410356998444,21.786282596,5,4,24,24,66,56,54,50,18,4,32,14,6,0.24561403508771928,0.21929824561403508,0.16616541353383457,0.07142857142857142
100,7,low,100,20,32839.6390273571,3211.8720819950104,16.223713673,1,2,0,0,22,12,0,0,4,2,2,2,8,0.058823529411764705,0.0,0.034300467174821735,0.01020408163265306
100,7,low,1000,20,33810.96716976166,2856.9824039936066,17.546179644,1,2,0,0,8,2,0,0,2,2,2,2,8,0.00980392156862745,0.0,0.0222522744037374,0.01020408163265306
100,7,high,100,20,108903.35662055016,8494.371037006378,17.406169841,1,2,18,18,36,26,24,22,16,2,12,8,7,0.12745098039215685,0.10784313725490197,0.13383958234456572,0.04081632653061224
100,7,high,1000,10,8705.346147537231,189.308828830719,15.182627319,1,3,0,0,14,8,4,4,6,3,6,0,13,0.0392156862745098,0.0196078431372549,0.04225352112676056,0.0
100,8,low,100,20,55714.127828121185,5273.1967079639435,15.75131181,4,4,0,0,24,20,24,20,18,4,0,0,7,0.09009009009009009,0.09009009009009009,0.09782608695652174,0.0
100,8,low,1000,20,86854.86766648293,18705.09058904648,14.630445596,4,4,0,0,12,8,12,8,4,4,0,0,7,0.036036036036036036,0.036036036036036036,0.021739130434782608,0.0
100,8,high,100,20,126363.74255681038,23573.29824781418,18.60479156,4,4,14,14,42,26,42,26,32,4,8,14,7,0.11711711711711711,0.11711711711711711,0.2453416149068323,0.07142857142857142
100,8,high,1000,20,146082.43367695808,14574.708138942719,17.564054173,4,5,0,0,34,26,28,20,20,5,10,0,7,0.11711711711711711,0.09009009009009009,0.10526315789473684,0.0
100,9,low,100,10,8047.619746208191,343.02337098121643,15.460802912,1,1,0,0,6,4,6,4,0,1,4,0,11,0.0196078431372549,0.0196078431372549,0.0,0.0
50,13,high,100,20,26354.299118757248,3997.033348083496,13.683462491,1,1,4,4,4,4,4,4,2,1,2,4,4,0.038461538461538464,0.038461538461538464,0.06547619047619047,0.041666666666666664
50,18,high,100,20,35277.625841856,1681.5702068805695,12.869321886,1,1,8,8,20,12,20,12,4,1,8,8,3,0.11538461538461539,0.11538461538461539,0.12777777777777777,0.08333333333333333
50,17,low,100,10,3340.916936159134,89.82070207595825,13.832061652,1,1,0,0,8,2,8,2,0,1,2,0,6,0.019230769230769232,0.019230769230769232,0.0,0.0
50,19,low,1000,20,24305.209552049637,2373.690883874893,12.101904683,3,3,0,0,4,4,4,4,4,3,0,2,4,0.034482758620689655,0.034482758620689655,0.0625,0.020833333333333332
50,11,low,1000,20,9316.69534444809,381.44461703300476,14.393305137,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
50,11,high,100,20,22777.37962794304,1751.1271150112152,12.616483641,0,0,32,32,32,32,32,32,2,0,0,2,4,0.32653061224489793,0.32653061224489793,0.046474358974358976,0.020833333333333332
50,20,high,100,20,14519.664911746979,1303.6801640987396,12.306738225,2,3,12,12,32,28,28,22,22,3,12,12,4,0.2545454545454545,0.2,0.35416666666666663,0.125
50,19,high,1000,10,7564.74378657341,532.9831700325012,12.779200502,3,3,0,0,26,20,26,20,6,3,14,0,5,0.1724137931034483,0.1724137931034483,0.06666666666666667,0.0
50,17,low,100,20,21623.63433933258,3245.367691040039,19.050016317,1,1,0,0,4,2,4,2,0,1,2,0,4,0.019230769230769232,0.019230769230769232,0.0,0.0
50,16,high,100,20,13638.985727787018,1058.2424819469452,30.068518041,1,1,6,6,20,12,20,12,6,1,6,8,4,0.11538461538461539,0.11538461538461539,0.15476190476190477,0.08333333333333333
100,15,high,1000,10,8662.950099468231,358.18316292762756,14.102127436,2,2,2,2,24,22,24,22,12,2,8,0,12,0.10476190476190476,0.10476190476190476,0.08450704225352113,0.0
50,15,high,100,10,8256.747252225876,634.3239469528198,12.901035023,4,4,4,4,46,34,46,34,20,4,8,6,5,0.2786885245901639,0.2786885245901639,0.27083333333333337,0.0625
50,15,high,100,20,35948.9623374939,3779.950355052948,12.287360548,4,4,8,8,44,36,44,36,20,4,24,6,4,0.29508196721311475,0.29508196721311475,0.258578431372549,0.0625
50,19,high,100,20,40242.21001172066,3957.805207967758,12.731964646,3,2,8,8,32,32,24,18,20,2,10,2,4,0.27586206896551724,0.15517241379310345,0.24305555555555555,0.020833333333333332
50,2,low,3000,20,96895.84847164154,18147.208913087845,12.493159072,3,3,2,2,8,4,8,4,4,4,0,2,3,0.034482758620689655,0.034482758620689655,0.057870370370370364,0.020833333333333332
50,4,low,3000,20,10324.583379983902,536.2065031528473,12.46527887,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0
100,2,low,3000,20,46939.45960831642,2957.807545900345,12.594402376,8,9,18,18,34,28,30,26,6,9,10,12,8,0.11382113821138211,0.10569105691056911,0.0900706436420722,0.061224489795918366
