ntaxa,rep,ils,ngt,m,ncores,runtime
50,4,low,1000,20,7,1534.7290108203888
50,4,low,1000,20,8,1373.9963541030884
50,4,low,1000,20,9,1240.8398542404175
50,4,low,1000,20,10,1151.0610401630402
50,4,low,1000,20,11,1062.6674480438232
50,4,low,1000,20,12,994.3993012905121
50,4,low,1000,20,13,949.1361320018768
50,4,low,1000,20,14,902.4675714969635
50,4,low,1000,20,15,849.9173908233643
50,4,low,1000,20,16,804.7356059551239
50,4,low,1000,20,17,798.1557471752167
50,4,low,1000,20,18,783.2460322380066
50,4,low,1000,20,19,746.387656211853
50,4,low,1000,20,20,732.2005970478058
50,4,low,1000,20,21,697.5328562259674
50,4,low,1000,20,22,661.0792469978333
50,4,low,1000,20,23,643.7664821147919
50,4,low,1000,20,24,642.1910831928253
50,4,low,1000,20,25,623.5297679901123
50,4,low,1000,20,26,622.129025220871
50,4,low,1000,20,27,613.4505362510681
50,4,low,1000,20,28,603.2864260673523
50,4,low,1000,20,29,597.3192682266235
50,4,low,1000,20,30,593.7137441635132
50,4,low,1000,20,31,592.3354511260986
50,4,low,1000,20,32,588.5442380905151
50,4,high,100,20,1,16996.802568674088
50,4,high,100,20,2,8500.992584466934
50,4,high,100,20,3,5947.017234325409
50,4,high,100,20,4,4813.624273061752
50,4,high,100,20,5,4070.066686153412
50,4,high,100,20,6,3593.062842130661
50,4,high,100,20,7,3155.2504272460938
50,4,high,100,20,8,2873.0033321380615
50,4,high,100,20,9,2595.147195339203
50,4,high,100,20,10,2358.455489873886
50,4,high,100,20,11,2240.8356080055237
50,4,high,100,20,12,2085.7368059158325
50,4,high,100,20,13,1987.914183139801
50,4,high,100,20,14,1869.9263169765472
50,4,high,100,20,15,1824.5264761447906
50,4,high,100,20,16,1679.9931991100311
50,4,high,100,20,17,1636.858628988266
50,4,high,100,20,18,1602.2869939804077
50,4,high,100,20,19,1573.2308521270752
50,4,high,100,20,20,1540.6557688713074
50,4,high,100,20,21,1501.5222158432007
50,4,high,100,20,22,1501.5222158432007
50,4,high,100,20,23,1501.5222158432007
50,4,high,100,20,24,1501.5222158432007
50,4,high,100,20,25,1501.5222158432007
50,4,high,100,20,26,1501.5222158432007
50,4,high,100,20,27,1501.5222158432007
50,4,high,100,20,28,1501.5222158432007
50,4,high,100,20,29,1501.5222158432007
50,4,high,100,20,30,1501.5222158432007
50,4,high,100,20,31,1501.5222158432007
50,4,high,100,20,32,1501.5222158432007
50,5,low,100,20,1,13813.355273485184
