ntaxa,rep,ils,m,inphynet_runtime,nretic_true,nretic_est,unrooted_major_hwcd,unrooted_hwcd,min_greedy_hwcd,is_greedy_rooted,min_unrooted_nj_hwcd,misplaced_retics
50,35,low,30,0.00628397,1,1,0.0,0,0,false,0,0
50,35,high,10,0.006694134,1,1,0.0,0,0,false,0,0
50,35,high,20,0.006726715,1,1,0.0,0,0,false,0,0
50,35,high,30,0.015523451,1,1,0.0,0,0,false,0,0
50,36,low,10,0.066726628,2,2,0.0,0,0,false,0,0
50,36,low,20,0.007036715,2,2,0.0,0,0,false,0,0
50,36,low,30,0.006988946,2,2,0.0,0,0,false,0,0
50,36,high,10,0.007083434,2,2,0.0,0,0,false,0,0
50,36,high,20,0.006759378,2,2,0.0,0,0,false,0,0
50,36,high,30,0.007576981,2,2,0.0,0,0,false,0,0
50,37,low,10,0.006791703,2,2,0.0,0,0,false,0,0
50,37,low,20,0.006619217,2,2,0.0,0,0,false,0,0
50,37,low,30,0.006954084,2,2,0.0,0,0,false,0,0
50,37,high,10,0.006483404,2,2,0.0,0,0,false,0,0
50,37,high,20,0.007102248,2,2,0.0,0,0,false,0,0
50,37,high,30,0.006298608,2,2,0.0,0,0,false,0,0
50,38,low,10,0.006407457,0,0,0.0,0,0,false,0,0
50,38,low,20,0.006207798,0,0,0.0,0,0,false,0,0
50,38,low,30,0.006252803,0,0,0.0,0,0,false,0,0
50,38,high,10,0.006577395,0,0,0.0,0,0,false,0,0
50,38,high,20,0.00622394,0,0,0.0,0,0,false,0,0
50,38,high,30,0.00624838,0,0,0.0,0,0,false,0,0
50,39,low,10,0.00808799,1,1,0.0,0,0,false,0,0
50,39,low,20,0.00711483,1,1,0.0,0,0,false,0,0
50,39,low,30,0.006463129,1,1,0.0,0,0,false,0,0
50,39,high,10,0.007916028,1,1,0.0,0,0,false,0,0
50,39,high,20,0.007068869,1,1,0.0,0,0,false,0,0
50,39,high,30,0.006640162,1,1,0.0,0,0,false,0,0
50,40,low,10,0.007220673,3,3,0.0,0,0,false,0,0
50,40,low,20,0.00753863,3,3,0.0,0,0,false,0,0
50,40,low,30,0.007186134,3,3,0.0,0,0,false,0,0
50,40,high,10,0.007998743,3,3,0.0,0,0,false,0,0
50,40,high,20,0.007387083,3,3,0.0,0,0,false,0,0
50,40,high,30,0.006980726,3,3,0.0,0,0,false,0,0
