ntaxa,ngt,ils,nbp,m,r,imethod,gtee,hwcd,input_error,runtime_parallel,runtime_serial
50,100,high,1000,10,5,snaq,0.0680851063829787,30,42,1653.52156686783,4251.26935172081
50,100,high,1000,10,8,phylonet,0.0621276595744681,36,42,1910.65640306525,2884.12401506525
50,100,high,1000,10,8,snaq,0.0621276595744681,40,44,2680.25460672379,5443.5673995018
50,100,high,1000,10,9,phylonet,0.0614893617021277,34,30,1482.93743599197,3657.45284999197
50,100,high,1000,10,9,snaq,0.0614893617021277,34,28,2112.87910890579,5695.83134889603
50,100,high,1000,10,10,snaq,0.0680851063829787,60,58,1577.35240292549,4624.79129576683
50,100,high,1000,20,1,phylonet,0.0787234042553191,56,56,16332.7956279914,29795.4132039914
50,100,high,1000,20,1,snaq,0.0787234042553191,56,54,5847.32881808281,12652.9358968735
50,100,high,1000,20,2,snaq,0.0578723404255319,64,58,7520.1395149231,13178.657597065
50,100,high,1000,20,3,phylonet,0.0642553191489362,64,64,9081.20383688835,20226.1852688884
50,100,high,1000,20,3,snaq,0.0642553191489362,72,62,9274.90308690071,19382.2155787945
50,100,high,1000,20,4,phylonet,0.0710638297872341,44,44,2191.33799807501,5721.91367007501
50,100,high,1000,20,5,phylonet,0.0738297872340426,44,58,4408.32261504814,10873.8528820481
50,100,high,1000,20,5,snaq,0.0738297872340426,64,52,11661.2348051071,23326.6217241287
50,100,high,1000,20,6,phylonet,0.807234042553192,54,44,3154.13623288678,5872.09145488678
50,100,high,1000,20,6,snaq,0.807234042553192,58,40,4587.28065109253,9420.63427114487
50,100,high,1000,20,8,phylonet,0.0659574468085106,52,50,3030.3874698887,9732.3165488887
50,100,high,1000,20,9,phylonet,0.778936170212766,44,42,7835.60205199762,15216.7578589976
50,100,high,1000,20,9,snaq,0.778936170212766,44,44,5904.15491127968,11701.7253251076
50,1000,low,100,10,1,phylonet,0.27531914893617,10,10,222.699257028427,638.267682028427
50,1000,low,100,10,1,squirrel,0.27531914893617,40,36,16.5707348883152,16.9235833585262
50,1000,low,100,10,2,squirrel,0.212042553191489,64,24,18.8074864707887,19.1047194041312
50,1000,low,100,10,4,phylonet,0.174021276595745,2,8,243.932538885529,688.327491885529
50,1000,low,100,10,5,snaq,0.216851063829787,6,4,1251.41533589363,3190.60417509079
50,1000,low,100,10,6,phylonet,0.535446808510638,14,4,116.338252010849,396.267726010849
50,1000,low,100,10,6,snaq,0.535446808510638,14,2,365.323942899704,864.586093902588
50,1000,low,100,10,9,phylonet,0.203212765957447,22,30,746.689614122818,1457.95283212282
50,1000,low,100,10,10,phylonet,0.250404255319149,10,16,378.290177958115,1390.50006495811
50,1000,low,100,10,10,snaq,0.250404255319149,14,16,1571.92530989647,3108.73449897766
50,1000,low,100,20,1,phylonet,0.206893617021277,4,2,12198.8282280416,14568.4773300416
50,1000,low,100,20,2,phylonet,0.195744680851064,26,28,8175.52673690668,15479.2397369067
50,1000,low,100,20,3,snaq,0.188914893617021,10,22,25731.4990899563,49922.7557787895
50,1000,low,100,20,4,snaq,0.220106382978723,22,30,6802.50990009308,15925.506165266
50,1000,low,100,20,5,phylonet,0.241617021276596,14,14,6790.88498119084,7574.96242419084
50,1000,low,100,20,7,phylonet,0.213957446808511,18,14,3341.15841589307,5355.10146389307
50,1000,low,100,20,7,snaq,0.213957446808511,18,16,10326.1211059093,19600.4337697029
50,1000,low,100,20,8,snaq,0.203851063829787,10,16,16579.213984251,20282.9971961975
50,1000,low,100,20,9,phylonet,0.227851063829787,10,16,7136.34670185262,9052.11830385262
50,1000,low,100,20,9,snaq,0.227851063829787,18,20,23814.5537309647,29299.2861838341
50,1000,low,100,20,10,snaq,0.214255319148936,10,12,118529.534227848,147424.707753658
50,1000,high,100,10,1,snaq,0.386851063829787,14,14,2884.86603713036,7332.19769334793
50,1000,high,100,10,2,snaq,0.396936170212766,14,18,7616.95682406425,17892.4452929497
50,1000,high,100,10,2,squirrel,0.396936170212766,80,80,21.4522354491055,23.0842030979693
50,1000,high,100,10,3,phylonet,0.361574468085106,18,18,6069.27044695897,8624.32839195897
50,1000,high,100,10,3,snaq,0.361574468085106,18,18,8797.56925177574,14123.8750419617
50,1000,high,100,10,4,phylonet,0.442021276595745,16,16,1800.14111813927,3813.99802213927
50,1000,high,100,10,7,phylonet,0.399106382978723,18,22,1192.77030500063,2366.72141400063
50,1000,high,100,10,7,snaq,0.399106382978723,46,24,1698.48232388496,3187.65307378769
50,1000,high,100,10,8,snaq,0.420936170212766,40,16,1627.60309314728,4590.99422836304
50,1000,high,100,10,10,phylonet,0.368829787234042,26,30,2816.93828688512,7049.15388688512
50,1000,high,100,10,10,snaq,0.368829787234042,20,34,5828.86634612083,11505.258756876
50,1000,high,100,20,1,snaq,0.457744680851064,24,18,2721.64041614532,7718.17507910728
50,1000,high,100,20,2,phylonet,0.414021276595745,26,26,3025.56799781294,9163.07498881294
50,1000,high,100,20,2,snaq,0.414021276595745,26,26,3807.44845914841,11307.9821171761
50,1000,high,100,20,6,snaq,0.437148936170213,12,12,2845.44372820854,9210.79328799248
50,1000,high,100,20,9,phylonet,0.42331914893617,14,14,7822.19332107745,12536.8532050775
50,1000,high,1000,10,1,phylonet,0.914893617021277,88,120,271.819235008514,672.028394008515
50,1000,high,1000,10,1,squirrel,0.914893617021277,86,114,16.3342941813171,17.2839904651046
50,1000,high,1000,10,2,phylonet,0.090531914893617,12,18,7649.41427909991,21528.9735060999
50,1000,high,1000,10,2,squirrel,0.090531914893617,84,86,19.299903050065,20.8098463639617
50,1000,high,1000,10,3,snaq,0.0655957446808511,20,16,1742.73889493942,3440.82902979851
50,1000,high,1000,10,5,phylonet,0.914893617021277,84,116,252.096527931824,610.102440931824
50,1000,high,1000,10,5,snaq,0.914893617021277,84,116,857.24809885025,1256.10619401932
50,1000,high,1000,10,9,phylonet,0.0618936170212766,28,26,897.821292000214,2616.41356800021
50,1000,high,1000,10,10,phylonet,0.0675106382978723,18,26,2928.25992209814,5375.37201209814
50,1000,high,1000,20,2,phylonet,0.0561276595744681,58,42,5574.36068805386,12717.2333380539
50,1000,high,1000,20,7,phylonet,0.0733404255319149,26,28,5640.58235993105,15207.085280931
50,1000,high,1000,20,8,snaq,0.0861702127659574,18,24,5006.05823898315,14685.8724291325
50,1000,high,1000,20,9,snaq,0.0632978723404255,30,30,3603.80889415741,10026.8691940308
50,1000,high,1000,20,10,phylonet,0.935829787234043,38,40,4480.28792492029,9663.17041592029
50,1000,high,1000,20,10,snaq,0.935829787234043,38,38,3405.4879450798,9899.42622327805
100,100,low,100,10,1,phylonet,0.243505154639175,24,28,306.321847152557,979.089520152557
100,100,low,100,10,1,snaq,0.243505154639175,24,24,564.47656583786,1579.18280506134
100,100,low,100,10,1,squirrel,0.243505154639175,118,82,15.9808317013085,16.4267471879721
100,100,low,100,10,2,squirrel,0.234639175257732,110,88,17.7332253046334,18.7043821662664
100,100,low,100,10,4,phylonet,0.193917525773196,16,30,445.15723698233,1982.57547298233
100,100,low,100,10,5,phylonet,0.215670103092783,26,42,512.959960980896,2673.0244269809
100,100,low,100,10,7,phylonet,0.210309278350515,20,30,444.812640889389,2420.00098488939
100,100,low,100,10,8,phylonet,0.208247422680412,24,34,854.918975899124,3145.09334589912
100,100,low,100,10,9,phylonet,0.193917525773196,26,20,556.532518909363,1410.86510190936
100,100,low,100,10,9,snaq,0.193917525773196,24,18,903.130921125412,2183.71401548386
100,100,low,100,10,10,phylonet,0.221443298969072,32,34,421.443140956284,1245.77768995628
100,100,low,100,20,5,snaq,0.212268041237113,18,26,33569.5409390926,111121.859567404
100,100,low,100,20,6,snaq,0.222886597938144,26,32,54693.0308930874,85410.3545331955
100,100,low,100,20,9,phylonet,0.204948453608247,18,22,15517.7199159197,22464.4130749197
100,100,low,100,20,10,phylonet,0.199175257731959,22,36,16182.5051439877,34050.8017179877
100,100,high,100,10,2,phylonet,0.480618556701031,110,100,503.963084966476,2828.85119396648
100,100,high,100,10,2,snaq,0.480618556701031,106,92,826.487438201904,3004.39168643951
100,100,high,100,10,2,squirrel,0.480618556701031,182,188,22.6567165181041,23.7117291502655
100,100,high,100,10,3,phylonet,0.486494845360825,148,102,1555.99096805023,6348.39895905023
100,100,high,100,10,4,phylonet,0.439587628865979,134,90,777.201168924133,3807.26938592413
100,100,high,100,10,5,snaq,0.415670103092784,158,108,951.420237779617,4180.35215401649
100,100,high,100,10,7,phylonet,0.947835051546392,120,98,535.10342979335,3133.75478079335
100,100,high,100,10,9,phylonet,0.435979381443299,142,118,1315.716659911,5093.380132911
100,100,high,100,10,10,phylonet,0.444742268041237,146,124,983.174862059265,4211.51452005927
100,100,high,100,20,1,phylonet,0.838453608247423,152,106,28498.6166808566,89382.4827288566
100,100,high,100,20,2,snaq,0.437422680412371,164,112,40544.0124149323,116803.543328524
100,100,high,100,20,3,phylonet,0.434123711340206,104,108,48491.9694930224,105735.795062022
100,100,high,100,20,3,snaq,0.434123711340206,102,100,40205.1506800652,127056.282147884
100,100,high,100,20,4,phylonet,0.388041237113402,96,90,17064.2032151048,62301.3985301048
100,100,high,100,20,5,phylonet,0.435773195876289,132,114,43335.1302871557,117933.464316156
100,100,high,100,20,7,snaq,0.401958762886598,72,86,40089.9939749241,116721.820069075
100,100,high,100,20,10,phylonet,0.430927835051546,86,86,44580.0613780165,143065.572403017
100,100,high,1000,10,1,phylonet,0.0644329896907216,78,82,336.166490905945,1671.36107290594
100,100,high,1000,10,1,squirrel,0.0644329896907216,184,122,23.3982324972749,24.7541301883757
100,100,high,1000,10,2,squirrel,0.064020618556701,182,158,22.7871888130903,23.7580324821174
100,100,high,1000,10,3,phylonet,0.0777319587628866,158,96,975.466952047317,3279.49188304732
100,100,high,1000,10,4,phylonet,0.0754639175257732,124,86,734.012494019348,2584.66601701935
100,100,high,1000,10,5,phylonet,0.0715463917525773,140,94,1022.73790414221,3239.16502014221
100,100,high,1000,10,5,snaq,0.0715463917525773,136,94,618.312527179718,2683.73303222656
100,100,high,1000,10,6,phylonet,0.0645360824742268,124,72,948.307865904571,3468.26470590457
100,100,high,1000,10,6,snaq,0.0645360824742268,132,70,927.256886959076,3821.15298056602
100,100,high,1000,10,7,phylonet,0.0812371134020619,138,88,481.431385121155,2326.83631812115
100,100,high,1000,10,8,phylonet,0.0716494845360825,110,64,475.123633838654,2335.57425283865
100,100,high,1000,10,8,snaq,0.0716494845360825,128,64,785.703327894211,3434.17110800743
100,100,high,1000,10,10,phylonet,0.0845360824742268,134,96,736.649708085266,2973.15525608527
100,100,high,1000,10,10,snaq,0.0845360824742268,140,104,1151.11701703072,4560.60181689262
100,100,high,1000,20,3,snaq,0.0698969072164948,116,104,41862.9442842007,122932.72777009
100,100,high,1000,20,4,phylonet,0.0739175257731959,94,104,34949.4048809459,116487.361079946
100,100,high,1000,20,6,snaq,0.0735051546391752,148,98,56946.6373329163,138049.493339777
100,100,high,1000,20,8,phylonet,0.0729896907216495,146,118,15651.3975389412,50964.5950339412
50,100,high,1000,10,3,squirrel,0.0638297872340425,90,64,17.0966312140226,17.5711789131165
50,1000,low,100,10,3,squirrel,0.215340425531915,40,32,14.3212266899645,14.6166992746294
50,1000,high,100,10,3,squirrel,0.361574468085106,76,72,19.6758462674916,21.025131188333
50,1000,high,1000,10,3,squirrel,0.0655957446808511,60,46,17.4236130975187,18.4923985935748
100,100,low,100,10,3,squirrel,0.226494845360825,96,98,14.0276161618531,15.649486027658
100,100,high,100,10,3,squirrel,0.486494845360825,180,180,23.8833856657147,24.5044982582331
100,100,high,1000,20,10,snaq,0.0775257731958763,112,100,28107.2711899281,87893.2957611084
100,1000,low,100,10,1,phylonet,0.212216494845361,20,20,1494.42084915813,3162.73907215813
