ntaxa,rep,std0
1000,55,4.375812210940631
1000,56,4.4555087108499825
1000,57,4.161483694641239
1000,58,4.1756837813823395
1000,59,4.569254945768738
1000,60,4.651361337074614
1000,61,4.252547787778561
1000,62,4.638214929041543
1000,63,4.674494571299776
1000,64,4.375959519687981
1000,65,4.3289167210547435
1000,66,4.630760168031158
1000,67,4.0680937316716355
1000,68,3.98622823339584
1000,69,4.418606250675471
1000,70,4.5632229976119145
1000,71,4.335809254874004
1000,72,4.033338730772146
1000,73,4.612540119104949
1000,74,4.420548760728456
1000,75,4.710909535239618
1000,76,4.482328520720027
1000,77,4.6040275141620475
1000,78,4.546084162446498
1000,79,4.6688925907332175
1000,80,4.77191143262732
1000,81,4.622972126101736
1000,82,4.6220578840333895
1000,83,4.775297216232692
1000,84,5.06821830460569
1000,85,4.602508958993958
1000,86,4.351739339912888
1000,87,4.59474367614667
1000,88,4.42612738796297
1000,89,4.441636091672272
1000,90,4.376447764179579
1000,91,4.985394839236693
1000,92,4.478129673498895
1000,93,4.622923598290392
1000,94,4.935131435854471
1000,95,4.255913197038361
1000,96,4.229241385457058
1000,97,4.608593749823561
1000,98,4.446284381265051
1000,99,4.587168854453452
1000,100,4.736599438013375
2500,1,5.520911019179281
2500,2,5.2607389917253
2500,3,5.3572964489619475
2500,4,5.7009216403532905
2500,5,4.745019848175006
2500,6,4.83256449211489
2500,7,5.078766212932917
2500,8,4.618670440237729
2500,9,4.853423317802539
2500,10,5.232898836744074
2500,11,4.817057476216515
2500,12,5.095947421620992
2500,13,5.076068582665322
2500,14,5.035090713156198
2500,15,4.733109567293933
2500,16,4.980891723542826
2500,17,4.8182833000638965
2500,18,5.145905898679938
2500,19,5.277775012161665
2500,20,4.925991954303976
2500,21,5.127541025385486
2500,22,4.808189460360303
2500,23,5.183183613481016
2500,24,4.644314579558037
2500,25,5.1320288435730825
2500,26,5.151722345590376
2500,27,4.769384048425834
2500,28,4.611629573834207
2500,29,5.2141874011552884
2500,30,5.085302233289429
2500,31,4.980811939035116
2500,32,4.915040461772506
2500,33,4.912577394647492
2500,34,5.145859182844546
2500,35,4.281092565143878
2500,36,5.3219126807531945
2500,37,4.846564731661124
2500,38,4.897683297420079
2500,39,4.963670067991797
2500,40,4.947071167699372
2500,41,5.206867966429818
2500,42,5.082617464576669
2500,43,5.182605381471172
2500,44,4.705888109011756
2500,45,5.286145824476646
2500,46,4.83902377706917
2500,47,5.034546499766816
2500,48,5.082795473097771
2500,49,4.413123749401134
2500,50,5.716237791388332
2500,51,4.805162324010021
2500,52,4.730563413859748
2500,53,5.018886555536252
2500,54,5.045932635050239
2500,55,4.729934206512775
2500,56,4.772471628467312
2500,57,4.849779174269813
2500,58,5.130626831744269
2500,59,4.951263003724881
2500,60,4.598307945418387
2500,61,4.2413011515265495
2500,62,4.90066484624071
2500,63,4.814419109489543
2500,64,4.430869797884799
2500,65,6.181081491972556
2500,66,4.9856950657446335
2500,67,5.714998386675579
2500,68,4.6853629191592665
2500,69,5.043979453341283
2500,70,4.949147980424853
2500,71,5.1736180490637595
2500,72,4.715695304998132
2500,73,5.165469265126329
2500,74,4.6465986138450015
2500,75,4.812677279861605
2500,76,5.227209180859417
2500,77,5.404604703361973
2500,78,5.297952630637746
2500,79,4.719096886030278
2500,80,5.221744307378818
2500,81,4.9571758585266
2500,82,4.8306400485627226
2500,83,4.790325409624842
2500,84,5.081045113801064
2500,85,4.955753918106145
2500,86,5.064195921052015
2500,87,5.117529994059654
2500,88,4.978976089971186
2500,89,4.265301530024117
2500,90,5.352577471485682
2500,91,4.90912281341968
2500,92,5.074500223854496
2500,93,4.74026755479554
2500,94,5.365154348520526
2500,95,4.470631681383738
2500,96,5.20869303475573
2500,97,5.032110903336384
2500,98,4.871852537163767
2500,99,5.15706900261447
2500,100,5.038039697687864
